local_hour,hw_nohw_diff_HEAT_FROM_AC,Total
0,0.0005621451,0
1,0.00050770957,0
2,0.00045504785,0
3,0.00040688014,0
4,0.00036183506,0
5,0.00032586875,0
6,0.00031502306,0
7,0.0003137239,0
8,0.00035563137,0
9,0.00038799076,0
10,0.00043764498,0
11,0.000502797,0
12,0.0005675938,0
13,0.0006409251,0
14,0.000731757,0
15,0.00085371005,0
16,0.0009993529,0
17,0.0011256257,0
18,0.00111279,0
19,0.0010030642,0
20,0.00088117394,0
21,0.00077278464,0
22,0.0006885865,0
23,0.0006192398,0
